"11/07/2023","Gasto","Coche","Coche","48,88","Variable","Pagado"
"19/07/2023","Gasto","Coche","Coche","37,79","Variable","Pagado"
"21/07/2023","Gasto","Coche","Coche","1,00","Variable","Pagado"
"24/07/2023","Gasto","Coche","Coche","37,05","Variable","Pagado"
"26/07/2023","Gasto","Coche","Coche","95,00","Variable","Pagado"
"28/07/2023","Gasto","Coche","Coche","2,15","Variable","Pagado"
"30/07/2023","Gasto","Coche","Coche","46,50","Variable","Pagado"
"28/07/2023","Gasto","Salud","Salud","12,00","Variable","Pagado"
"01/08/2023","Ingreso","Billetazo","Bizum","0,93","Variable","Pagado"
"05/08/2023","Ingreso","Billetazo","Bizum","70,00","Variable","Pagado"
"08/08/2023","Ingreso","Billetazo","Bizum","154,03","Variable","Pagado"
"10/08/2023","Ingreso","Billetazo","Bizum","0,65","Variable","Pagado"
"11/08/2023","Ingreso","Billetazo","Bizum","49,97","Variable","Pagado"
"12/08/2023","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"20/08/2023","Ingreso","Billetazo","Bizum","20,00","Variable","Pagado"
"21/08/2023","Ingreso","Billetazo","Bizum","80,00","Variable","Pagado"
"22/08/2023","Ingreso","Billetazo","Bizum","7,00","Variable","Pagado"
"25/08/2023","Ingreso","Billetazo","Bizum","3,20","Variable","Pagado"
"26/08/2023","Ingreso","Billetazo","Bizum","2,70","Variable","Pagado"
"27/08/2023","Ingreso","Billetazo","Bizum","7,00","Variable","Pagado"
"30/08/2023","Ingreso","Billetazo","Bizum","955,59","Variable","Pagado"
"14/08/2023","Gasto","Ocio","Comida","7,96","Variable","Pagado"
"15/08/2023","Gasto","Ocio","Comida","31,13","Variable","Pagado"
"18/08/2023","Gasto","Ocio","Comida","7,96","Variable","Pagado"
"20/08/2023","Gasto","Ocio","Comida","12,50","Variable","Pagado"
"21/08/2023","Gasto","Ocio","Comida","5,45","Variable","Pagado"
"22/08/2023","Gasto","Ocio","Comida","14,00","Variable","Pagado"
"25/08/2023","Gasto","Ocio","Comida","14,89","Variable","Pagado"
"27/08/2023","Gasto","Ocio","Comida","4,70","Variable","Pagado"
"28/08/2023","Gasto","Ocio","Comida","4,65","Variable","Pagado"
"31/08/2023","Gasto","Ocio","Comida","20,25","Variable","Pagado"
"20/08/2023","Gasto","Ocio","Entretenimiento","6,90","Variable","Pagado"
"23/08/2023","Gasto","Ocio","Entretenimiento","36,00","Variable","Pagado"
"24/08/2023","Gasto","Ocio","Entretenimiento","50,00","Variable","Pagado"
"02/08/2023","Gasto","Tecnología","Tecnología","2,49","Variable","Pagado"
"11/08/2023","Gasto","Tecnología","Tecnología","104,96","Variable","Pagado"
