"Fecha","Tipo","Categoría","Descripción","Importe","Compromiso","Estado"
"11/06/2025","Gasto","Tecnología","Tecnología","3,00","Variable","Pagado"
"13/06/2025","Gasto","Tecnología","Tecnología","1,80","Variable","Pagado"
"20/06/2025","Gasto","Tecnología","Tecnología","129,25","Variable","Pagado"
"21/06/2025","Gasto","Tecnología","Tecnología","62,75","Variable","Pagado"
"25/06/2025","Gasto","Tecnología","Tecnología","5,99","Variable","Pagado"
"11/06/2025","Gasto","Coche","Coche","30,00","Variable","Pagado"
"14/06/2025","Gasto","Coche","Coche","0,20","Variable","Pagado"
"19/06/2025","Gasto","Coche","Coche","0,40","Variable","Pagado"
"20/06/2025","Gasto","Coche","Coche","40,00","Variable","Pagado"
"21/06/2025","Gasto","Coche","Coche","0,60","Variable","Pagado"
"23/06/2025","Gasto","Coche","Coche","0,50","Variable","Pagado"
"24/06/2025","Gasto","Coche","Coche","0,45","Variable","Pagado"
"25/06/2025","Gasto","Coche","Coche","35,00","Variable","Pagado"
"28/06/2025","Gasto","Coche","Coche","0,15","Variable","Pagado"
"29/06/2025","Gasto","Moto","Moto","15,02","Variable","Pagado"
"17/06/2025","Gasto","Recambios","Recambios","67,95","Variable","Pagado"
"23/06/2025","Gasto","Recambios","Recambios","3,00","Variable","Pagado"
"27/06/2025","Gasto","Recambios","Recambios","40,80","Variable","Pagado"
"28/06/2025","Gasto","Recambios","Recambios","30,00","Variable","Pagado"
"20/06/2025","Gasto","Salud","Salud","13,00","Variable","Pagado"
"23/06/2025","Gasto","Salud","Salud","54,00","Variable","Pagado"
"02/07/2025","Ingreso","Billetazo","Bizum","62,00","Variable","Pagado"
"06/07/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"13/07/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"20/07/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"27/07/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"29/07/2025","Ingreso","Billetazo","Bizum","975,69","Variable","Pagado"
"02/07/2025","Gasto","Ocio","Entretenimiento","5,79","Variable","Pagado"
"03/07/2025","Gasto","Ocio","Entretenimiento","4,40","Variable","Pagado"
"05/07/2025","Gasto","Ocio","Entretenimiento","11,20","Variable","Pagado"
"07/07/2025","Gasto","Ocio","Entretenimiento","18,79","Variable","Pagado"
"09/07/2025","Gasto","Ocio","Entretenimiento","13,62","Variable","Pagado"
"13/07/2025","Gasto","Ocio","Entretenimiento","4,70","Variable","Pagado"
"17/07/2025","Gasto","Ocio","Entretenimiento","10,00","Variable","Pagado"
"18/07/2025","Gasto","Ocio","Entretenimiento","3,50","Variable","Pagado"
"19/07/2025","Gasto","Ocio","Entretenimiento","4,70","Variable","Pagado"
"20/07/2025","Gasto","Ocio","Entretenimiento","4,70","Variable","Pagado"
"24/07/2025","Gasto","Ocio","Entretenimiento","6,80","Variable","Pagado"
"31/07/2025","Gasto","Ocio","Entretenimiento","7,20","Variable","Pagado"
"08/07/2025","Gasto","Tecnología","Tecnología","2,99","Variable","Pagado"
"16/07/2025","Gasto","Tecnología","Tecnología","6,00","Variable","Pagado"
"17/07/2025","Gasto","Tecnología","Tecnología","129,25","Variable","Pagado"
"22/07/2025","Gasto","Tecnología","Tecnología","13,98","Variable","Pagado"
"24/07/2025","Gasto","Tecnología","Tecnología","5,90","Variable","Pagado"
"03/07/2025","Gasto","Coche","Coche","0,20","Variable","Pagado"
"04/07/2025","Gasto","Coche","Coche","5,70","Variable","Pagado"
"05/07/2025","Gasto","Coche","Coche","0,25","Variable","Pagado"
"07/07/2025","Gasto","Coche","Coche","38,55","Variable","Pagado"
"08/07/2025","Gasto","Coche","Coche","0,55","Variable","Pagado"
"20/07/2025","Gasto","Coche","Coche","30,00","Variable","Pagado"
"28/07/2025","Gasto","Coche","Coche","40,00","Variable","Pagado"
"04/07/2025","Gasto","Moto","Moto","14,62","Variable","Pagado"
"17/07/2025","Gasto","Moto","Moto","14,01","Variable","Pagado"
"11/07/2025","Gasto","Recambios","Recambios","231,94","Variable","Pagado"
"17/07/2025","Gasto","Salud","Salud","1,12","Variable","Pagado"
"03/08/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"10/08/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"17/08/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"24/08/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"27/08/2025","Ingreso","Billetazo","Bizum","1079,63","Variable","Pagado"
"31/08/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"18/08/2025","Gasto","Ocio","Comida","5,10","Variable","Pagado"
"21/08/2025","Gasto","Ocio","Comida","3,30","Variable","Pagado"
"13/08/2025","Gasto","Ropa","Ropa","39,08","Variable","Pagado"
"01/08/2025","Gasto","Ocio","Entretenimiento","25,00","Variable","Pagado"
"03/08/2025","Gasto","Ocio","Entretenimiento","10,12","Variable","Pagado"
"04/08/2025","Gasto","Ocio","Entretenimiento","20,20","Variable","Pagado"
"08/08/2025","Gasto","Ocio","Entretenimiento","29,80","Variable","Pagado"
"12/08/2025","Gasto","Ocio","Entretenimiento","3,90","Variable","Pagado"
"13/08/2025","Gasto","Ocio","Entretenimiento","9,65","Variable","Pagado"
"17/08/2025","Gasto","Ocio","Entretenimiento","19,50","Variable","Pagado"
"18/08/2025","Gasto","Ocio","Entretenimiento","28,06","Variable","Pagado"
"20/08/2025","Gasto","Ocio","Entretenimiento","1,21","Variable","Pagado"
"21/08/2025","Gasto","Ocio","Entretenimiento","15,00","Variable","Pagado"
"13/08/2025","Gasto","Tecnología","Tecnología","23,79","Variable","Pagado"
"16/08/2025","Gasto","Tecnología","Tecnología","29,59","Variable","Pagado"
"17/08/2025","Gasto","Tecnología","Tecnología","129,00","Variable","Pagado"
"21/08/2025","Gasto","Tecnología","Tecnología","17,97","Variable","Pagado"
"26/08/2025","Gasto","Tecnología","Tecnología","2,79","Variable","Pagado"
"03/08/2025","Gasto","Coche","Coche","30,00","Variable","Pagado"
"09/08/2025","Gasto","Coche","Coche","0,90","Variable","Pagado"
"13/08/2025","Gasto","Coche","Coche","1,50","Variable","Pagado"
"15/08/2025","Gasto","Coche","Coche","30,00","Variable","Pagado"
"21/08/2025","Gasto","Coche","Coche","12,55","Variable","Pagado"
"27/08/2025","Gasto","Coche","Coche","35,00","Variable","Pagado"
"04/08/2025","Gasto","Moto","Moto","12,56","Variable","Pagado"
"11/08/2025","Gasto","Moto","Moto","14,27","Variable","Pagado"
"23/08/2025","Gasto","Moto","Moto","16,93","Variable","Pagado"
"08/08/2025","Gasto","Recambios","Recambios","12,95","Variable","Pagado"
"28/08/2025","Gasto","Recambios","Recambios","21,15","Variable","Pagado"
"31/08/2025","Gasto","Recambios","Recambios","4,50","Variable","Pagado"
"06/08/2025","Gasto","Salud","Salud","5,00","Variable","Pagado"
"09/08/2025","Gasto","Salud","Salud","12,00","Variable","Pagado"
"18/09/2025","Ingreso","Billetazo","Bizum","1059,86","Variable","Pagado"
"28/09/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"31/09/2025","Ingreso","Billetazo","Bizum","70,00","Variable","Pagado"
"17/09/2025","Gasto","Ocio","Comida","2,70","Variable","Pagado"
"12/09/2025","Gasto","Ropa","Ropa","20,00","Variable","Pagado"
"22/09/2025","Gasto","Ropa","Ropa","85,00","Variable","Pagado"
"01/09/2025","Gasto","Ocio","Entretenimiento","38,70","Variable","Pagado"
"02/09/2025","Gasto","Ocio","Entretenimiento","122,50","Variable","Pagado"
"03/09/2025","Gasto","Ocio","Entretenimiento","8,10","Variable","Pagado"
"09/09/2025","Gasto","Ocio","Entretenimiento","3,50","Variable","Pagado"
"10/09/2025","Gasto","Ocio","Entretenimiento","14,44","Variable","Pagado"
"11/09/2025","Gasto","Ocio","Entretenimiento","3,25","Variable","Pagado"
"15/09/2025","Gasto","Ocio","Entretenimiento","6,60","Variable","Pagado"
"17/09/2025","Gasto","Ocio","Entretenimiento","30,00","Variable","Pagado"
"20/09/2025","Gasto","Ocio","Entretenimiento","2,35","Variable","Pagado"
"22/09/2025","Gasto","Ocio","Entretenimiento","30,90","Variable","Pagado"
"23/09/2025","Gasto","Ocio","Entretenimiento","19,40","Variable","Pagado"
"27/09/2025","Gasto","Ocio","Entretenimiento","6,40","Variable","Pagado"
"02/09/2025","Gasto","Tecnología","Tecnología","14,99","Variable","Pagado"
"13/09/2025","Gasto","Tecnología","Tecnología","14,24","Variable","Pagado"
"16/09/2025","Gasto","Tecnología","Tecnología","14,99","Variable","Pagado"
"19/09/2025","Gasto","Tecnología","Tecnología","14,99","Variable","Pagado"
"24/09/2025","Gasto","Tecnología","Tecnología","6,59","Variable","Pagado"
"01/09/2025","Gasto","Coche","Coche","1,50","Variable","Pagado"
"02/09/2025","Gasto","Coche","Coche","1,00","Variable","Pagado"
"04/09/2025","Gasto","Coche","Coche","40,00","Variable","Pagado"
"12/09/2025","Gasto","Coche","Coche","0,01","Variable","Pagado"
"16/09/2025","Gasto","Coche","Coche","30,00","Variable","Pagado"
"20/09/2025","Gasto","Coche","Coche","0,25","Variable","Pagado"
"29/09/2025","Gasto","Coche","Coche","30,00","Variable","Pagado"
"29/09/2025","Gasto","Recambios","Recambios","34,80","Variable","Pagado"
"01/09/2025","Gasto","Salud","Salud","13,00","Variable","Pagado"
"01/10/2025","Ingreso","Billetazo","Bizum","18,00","Variable","Pagado"
"04/10/2025","Ingreso","Billetazo","Bizum","10,00","Variable","Pagado"
"05/10/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"12/10/2025","Ingreso","Billetazo","Bizum","50,00","Variable","Pagado"
"20/10/2025","Ingreso","Billetazo","Bizum","30,00","Variable","Pagado"
